,Age,Income,Family,CCAvg,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,EDU,Account_Holder_Category
79,50,19,2,0.4,118,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
80,60,41,4,1.3,174,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
81,47,40,3,2.7,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
82,41,82,1,4.0,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
83,33,50,1,2.4,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
84,46,18,1,0.9,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
85,27,109,4,1.8,0,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
86,40,42,4,2.2,126,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
87,48,78,3,1.1,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
88,65,51,2,1.1,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
89,25,113,4,2.3,0,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
90,55,118,4,5.6,0,1,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
91,35,29,4,1.1,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
92,43,34,3,0.6,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
93,60,64,2,1.7,236,0,1,0,1,0,Professional,Hold Securities account
94,65,121,1,2.0,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
95,38,48,4,0.2,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
96,41,80,1,5.2,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
97,54,161,1,2.9,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
98,49,94,1,0.3,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
99,66,15,3,0.1,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
100,48,74,1,1.2,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
101,61,30,3,1.3,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
102,53,44,3,1.0,198,0,0,0,1,1,Professional,Does Not hold Securities and Deposit Account
103,43,22,2,0.3,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
104,56,38,4,1.3,166,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
105,24,35,3,0.1,0,0,1,0,1,0,Graduate,Hold Securities account
106,43,69,4,2.9,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
107,42,43,1,0.7,136,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
108,33,32,1,0.6,166,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
109,43,49,1,2.8,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
110,41,9,3,1.0,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
111,62,45,4,1.3,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
112,40,82,3,1.0,309,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
113,58,92,2,2.8,103,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
114,39,39,3,0.5,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
115,65,81,3,1.8,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
116,54,35,1,1.5,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
117,58,61,2,2.3,193,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
118,41,73,3,3.0,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
119,32,112,1,4.6,366,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
120,54,12,2,0.2,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
121,52,38,3,0.9,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
122,58,73,2,0.7,0,0,0,0,1,1,Graduate,Does Not hold Securities and Deposit Account
123,37,84,1,3.6,0,0,1,0,0,0,Graduate,Hold Securities account
124,39,78,4,2.4,118,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
125,60,80,3,0.5,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
126,31,115,2,1.3,101,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
127,34,82,1,2.7,251,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
128,38,74,2,0.0,0,0,1,0,1,0,Under Graduate,Hold Securities account
129,41,70,3,0.5,0,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
130,28,81,3,1.5,276,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
131,58,149,4,7.2,0,1,0,1,1,1,Graduate,Hold CD Account
132,31,51,2,1.75,0,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
133,30,39,3,1.1,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
134,53,98,3,1.8,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
135,58,45,4,2.1,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
136,59,49,4,2.5,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
137,49,128,2,0.4,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
138,59,42,3,1.5,0,0,1,1,0,1,Under Graduate,Hold Securities and Deposit Account
139,59,18,1,1.2,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
140,51,31,2,0.4,161,0,0,0,1,1,Professional,Does Not hold Securities and Deposit Account
141,35,58,3,2.0,149,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
142,33,48,1,2.1,0,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
143,25,54,4,1.6,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
144,49,70,2,1.5,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
145,59,124,1,7.4,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
146,46,84,1,2.67,0,0,0,0,1,1,Graduate,Does Not hold Securities and Deposit Account
147,50,83,4,3.6,188,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
148,52,163,2,0.4,116,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
149,48,42,3,2.2,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
150,46,118,2,7.5,0,0,0,1,1,1,Under Graduate,Hold CD Account
151,26,132,3,6.5,0,1,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
152,57,24,1,1.3,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
153,60,22,2,1.0,0,0,1,1,1,1,Under Graduate,Hold Securities and Deposit Account
154,54,58,4,1.3,0,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
155,24,60,4,1.6,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
156,26,15,4,0.4,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
157,41,83,4,2.67,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
158,32,79,2,1.5,0,0,0,0,1,1,Professional,Does Not hold Securities and Deposit Account
159,61,41,4,1.7,0,0,1,0,1,0,Graduate,Hold Securities account
160,29,134,4,6.5,0,1,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
161,61,80,2,2.8,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
162,38,52,1,2.0,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
163,28,70,4,2.6,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
164,53,92,2,1.1,0,0,1,0,0,0,Under Graduate,Hold Securities account
165,27,43,1,1.5,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
166,25,21,3,1.0,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
167,33,23,3,0.9,0,0,0,0,1,1,Professional,Does Not hold Securities and Deposit Account
168,50,13,4,1.0,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
169,27,112,4,2.1,0,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
170,27,138,2,2.0,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
171,52,11,3,0.4,0,0,1,0,0,0,Under Graduate,Hold Securities account
172,38,171,2,7.8,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
173,58,42,4,1.5,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
174,42,168,2,7.9,0,1,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
175,45,85,4,1.1,0,0,1,0,1,0,Graduate,Hold Securities account
176,52,44,3,1.0,135,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
177,29,65,4,1.8,244,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
178,53,24,4,0.2,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
179,62,11,1,0.1,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
180,51,38,2,1.0,164,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
181,36,10,4,0.7,81,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
182,24,135,1,1.5,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
183,29,148,3,4.1,0,1,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
184,52,63,2,1.5,0,0,1,0,1,0,Graduate,Hold Securities account
185,39,115,1,1.0,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
186,48,45,1,0.3,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
187,46,159,3,1.9,315,1,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
188,64,169,2,2.1,122,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
189,55,112,2,1.4,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
190,60,93,1,4.3,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
191,51,29,1,0.3,140,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
192,50,85,1,2.67,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
193,48,21,4,0.6,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
194,53,144,2,6.8,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
195,34,13,4,1.0,95,0,1,0,1,0,Under Graduate,Hold Securities account
196,48,165,1,5.0,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
197,55,9,4,0.7,89,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
198,27,59,4,0.0,90,0,1,0,1,0,Under Graduate,Hold Securities account
199,36,158,1,5.1,0,1,0,1,1,1,Professional,Hold CD Account
200,32,29,1,1.9,0,0,0,0,1,1,Professional,Does Not hold Securities and Deposit Account
201,35,20,2,1.4,0,0,0,0,1,1,Professional,Does Not hold Securities and Deposit Account
202,30,68,4,2.0,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
203,58,65,4,2.2,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
204,56,61,2,1.9,105,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
205,38,91,4,1.4,100,0,0,0,0,1,Graduate,Does Not hold Securities and Deposit Account
206,49,31,1,1.0,0,0,1,0,1,0,Under Graduate,Hold Securities account
207,34,71,4,0.1,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
208,40,73,4,2.67,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
209,64,172,4,3.1,282,1,0,1,1,1,Under Graduate,Hold CD Account
210,51,20,2,0.0,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
211,44,55,1,0.2,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
212,46,69,2,1.7,209,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
213,57,155,1,7.4,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
214,54,94,1,1.9,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
215,38,92,2,0.0,249,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
216,27,125,2,0.6,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
217,39,74,3,3.0,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
218,44,72,3,0.3,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
219,56,61,1,2.2,0,0,0,0,1,1,Professional,Does Not hold Securities and Deposit Account
220,32,25,2,0.3,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
221,45,83,2,1.7,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
222,26,104,3,2.5,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
223,55,41,3,1.0,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
224,52,58,4,1.8,91,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
225,39,93,1,1.5,0,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
226,24,39,2,1.7,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
227,47,148,2,7.5,0,0,0,1,1,1,Under Graduate,Hold CD Account
228,47,53,4,1.9,98,0,1,1,0,1,Professional,Hold Securities and Deposit Account
229,48,71,2,1.7,145,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
230,47,92,1,2.8,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
231,35,61,4,2.1,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
232,46,38,3,2.5,135,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
233,62,58,4,1.7,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
234,26,80,1,0.8,150,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
235,38,71,4,1.8,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
236,43,89,3,0.5,0,0,0,0,1,1,Professional,Does Not hold Securities and Deposit Account
237,62,83,1,1.8,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
238,57,28,3,0.2,0,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
239,28,52,4,1.7,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
240,51,70,1,1.2,169,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
241,48,71,1,1.4,0,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
242,41,75,1,3.7,280,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
243,65,170,3,7.9,99,1,0,1,1,0,Professional,Hold CD Account
244,41,78,4,0.8,78,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
245,35,25,2,1.0,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
246,38,60,2,0.6,0,0,0,0,1,1,Professional,Does Not hold Securities and Deposit Account
247,53,120,4,2.7,111,1,1,1,1,0,Graduate,Hold Securities and Deposit Account
248,55,99,2,1.4,264,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
249,26,55,3,2.6,113,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
250,30,29,3,1.0,117,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
251,54,170,2,6.2,325,1,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
252,65,53,3,2.2,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
253,47,138,1,0.0,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
254,65,134,3,3.9,121,1,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
255,66,42,2,0.7,138,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
256,26,99,4,2.3,0,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
257,66,18,3,0.5,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
258,35,24,4,0.3,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
259,56,55,1,1.4,77,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
260,51,58,1,0.0,0,0,0,0,0,1,Under Graduate,Does Not hold Securities and Deposit Account
261,42,111,2,1.2,251,1,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
262,49,33,1,0.3,0,0,0,1,1,1,Professional,Hold CD Account
263,27,74,4,1.8,112,0,0,0,1,1,Graduate,Does Not hold Securities and Deposit Account
264,45,38,2,0.7,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
265,49,23,4,0.6,98,0,1,0,0,0,Professional,Hold Securities account
266,63,61,2,1.5,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
267,47,81,1,2.9,138,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
268,64,129,1,2.5,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
269,43,33,1,0.75,0,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
270,60,63,4,2.2,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
271,40,70,4,1.4,0,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
272,29,45,4,0.2,158,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
273,41,65,3,0.5,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
274,30,74,4,2.2,0,0,1,0,0,1,Under Graduate,Hold Securities account
275,49,50,4,1.8,0,0,1,0,0,0,Professional,Hold Securities account
276,30,22,4,0.5,109,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
277,29,30,4,1.0,0,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
278,50,21,4,1.0,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
279,39,155,2,3.9,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
280,33,64,4,2.1,164,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
281,57,65,4,2.6,0,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
282,34,71,4,0.7,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
283,61,40,3,0.5,0,0,1,0,1,0,Graduate,Hold Securities account
284,44,69,3,0.5,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
285,40,69,3,2.33,0,0,0,0,0,0,Graduate,Does Not hold Securities and Deposit Account
286,51,45,3,0.6,131,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
287,37,62,3,0.7,0,0,0,0,0,1,Graduate,Does Not hold Securities and Deposit Account
288,44,172,2,4.3,391,1,1,1,1,0,Professional,Hold Securities and Deposit Account
289,42,24,3,1.0,0,0,0,0,1,1,Graduate,Does Not hold Securities and Deposit Account
290,51,80,1,4.9,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
291,43,8,3,0.67,88,0,0,0,1,0,Graduate,Does Not hold Securities and Deposit Account
292,30,38,4,0.8,129,0,0,0,1,1,Under Graduate,Does Not hold Securities and Deposit Account
293,45,93,4,2.6,0,0,0,0,0,0,Professional,Does Not hold Securities and Deposit Account
294,35,55,1,2.0,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
295,60,64,2,1.7,0,0,0,0,0,1,Professional,Does Not hold Securities and Deposit Account
296,34,122,1,0.0,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
297,55,70,3,1.4,0,0,0,0,1,0,Professional,Does Not hold Securities and Deposit Account
298,43,81,2,3.2,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
299,41,159,1,5.5,0,1,0,1,1,0,Professional,Hold CD Account
300,34,70,4,1.3,0,0,1,0,0,0,Under Graduate,Hold Securities account
301,65,150,2,6.9,196,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
302,45,152,2,7.5,0,0,0,0,1,0,Under Graduate,Does Not hold Securities and Deposit Account
303,49,195,4,3.0,617,1,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
304,48,22,1,0.1,0,0,0,0,0,0,Under Graduate,Does Not hold Securities and Deposit Account
